searchstring	count	is_fixed	fixed_searchstring	productcount	predicted_productcount
ошейники	16	False	ошейники	14	14
сухой корм для кошек	16	False	сухой корм для кошек	12	12
поводок 5 метров	16	False	поводок 5 метров	12	12
коврик	16	False	коврик	12	12
витамины	16	False	витамины	8	8
ронколейкин	16	False	ронколейкин	0	0
корм для собак	15	False	корм для собак	17	17
eukanuba	15	False	eukanuba	13	13
корм для собак monge	15	False	корм для собак monge	12	12
ever clean	15	False	ever clean	9	9
royal canin urinary	15	False	royal canin urinary	7	7
обувь для собак	15	False	обувь для собак	0	0
вазотоп	15	False	вазотоп	0	0
Поводок	15	False	Поводок	0	0
Одежда для собак	15	False	Одежда для собак	0	0
grandorf	15	False	grandorf	0	0
витамины для щенков	14	False	витамины для щенков	17	17
Royal canin	14	False	Royal canin	17	17
farmina для щенков	14	False	farmina для щенков	16	16
felix	14	False	felix	15	15
pi-pi-bent	14	False	pi-pi-bent	1	1
попона	14	False	попона	0	0
подгузники	14	False	подгузники	0	0
Феливей	14	False	Феливей	0	0
